gen_updatedOn,latitude,longitude,temperature_2m,precipitation,soil_temperature_7_to_28cm,soil_moisture_7_to_28cm,year,month,day,hour,minute,stageOfCrop_encoded,waterLevel_encoded,pstDiseaseName_encoded,districts_encoded,monthly_mean_temp,monthly_precipitation
2018-06-08 12:31:00,8.32614837,77.09008056,25.4125,0.0333333333333333,26.65416666666667,0.185625,2018,6,8,12,31,1,5,10,1,25.38273148148148,0.42763888888888885
2018-06-08 12:36:00,8.32633627,77.08929869,25.4125,0.0333333333333333,26.65416666666667,0.185625,2018,6,8,12,36,1,4,10,1,25.38273148148148,0.42763888888888885
2018-06-08 13:30:00,12.35458432,75.07993511,25.725000000000005,0.2625,26.695833333333336,0.4200416666666666,2018,6,8,13,30,3,1,10,14,25.38273148148148,0.42763888888888885
2018-06-08 13:54:00,8.988355415,76.72977537,25.291666666666668,0.1291666666666666,26.4125,0.4513333333333333,2018,6,8,13,54,9,3,4,2,25.38273148148148,0.42763888888888885
2018-06-08 15:12:00,11.84546871,75.64148355,24.29583333333333,0.5666666666666668,25.337499999999995,0.4987083333333333,2018,6,8,15,12,1,3,2,13,25.38273148148148,0.42763888888888885
2018-08-08 10:05:00,11.40074667,75.82892333,24.004166666666663,1.5708333333333335,24.887500000000003,0.4841249999999999,2018,8,8,10,5,3,1,2,11,24.621557971014493,0.8166968599033816
2018-08-08 10:24:00,11.40101167,75.830445,24.0625,1.5708333333333335,24.933333333333337,0.4841249999999999,2018,8,8,10,24,1,1,2,11,24.621557971014493,0.8166968599033816
2018-08-08 10:24:00,11.40101167,75.830445,24.0625,1.5708333333333335,24.933333333333337,0.4841249999999999,2018,8,8,10,24,1,1,1,11,24.621557971014493,0.8166968599033816
2018-08-08 10:24:00,11.40101167,75.830445,24.0625,1.5708333333333335,24.933333333333337,0.4841249999999999,2018,8,8,10,24,1,1,6,11,24.621557971014493,0.8166968599033816
2018-08-08 12:57:00,12.25751333,75.12272833,24.195833333333336,0.8708333333333332,25.316666666666663,0.4756666666666667,2018,8,8,12,57,1,4,10,14,24.621557971014493,0.8166968599033816
2018-08-08 12:57:00,12.25751333,75.12272833,24.195833333333336,0.8708333333333332,25.316666666666663,0.4756666666666667,2018,8,8,12,57,1,4,2,14,24.621557971014493,0.8166968599033816
2018-08-08 15:02:00,12.01048,75.49184833,23.7625,1.1583333333333334,25.01666666666667,0.4915833333333333,2018,8,8,15,2,1,1,10,13,24.621557971014493,0.8166968599033816
2018-08-08 15:03:00,12.01052333,75.49181833,23.7625,1.1583333333333334,25.01666666666667,0.4915833333333333,2018,8,8,15,3,1,1,2,13,24.621557971014493,0.8166968599033816
2018-08-08 15:37:00,12.48205994,75.23861399,22.883333333333336,1.3083333333333331,23.816666666666663,0.4804166666666667,2018,8,8,15,37,3,1,10,14,24.621557971014493,0.8166968599033816
2018-09-08 10:26:00,10.46867,76.21090333,24.733333333333334,0.3625,25.566666666666663,0.4780833333333332,2018,9,8,10,26,8,3,6,8,25.60830335731415,0.12137290167865705
2018-09-08 10:26:00,10.46867,76.21090333,24.733333333333334,0.3625,25.566666666666663,0.4780833333333332,2018,9,8,10,26,8,3,2,8,25.60830335731415,0.12137290167865705
2018-09-08 11:30:00,8.635221667,77.013685,24.399999999999995,0.0791666666666666,25.03333333333333,0.4554166666666666,2018,9,8,11,30,8,1,2,1,25.60830335731415,0.12137290167865705
2018-09-08 11:38:00,8.63521,77.01371667,24.399999999999995,0.0791666666666666,25.03333333333333,0.4554166666666666,2018,9,8,11,38,8,1,1,1,25.60830335731415,0.12137290167865705
2018-09-08 12:29:00,12.05490167,75.256245,24.49166666666667,0.4083333333333334,25.09166666666667,0.4197499999999999,2018,9,8,12,29,7,3,2,13,25.60830335731415,0.12137290167865705
2018-09-08 17:10:00,9.891196667,76.65610167,23.40833333333333,0.75,23.77916666666667,0.48625,2018,9,8,17,10,3,3,2,6,25.60830335731415,0.12137290167865705
2018-09-08 17:10:00,9.891196667,76.65610167,23.40833333333333,0.75,23.77916666666667,0.48625,2018,9,8,17,10,3,3,2,6,25.60830335731415,0.12137290167865705
2018-10-08 11:31:00,9.748146667,76.61826667,23.78333333333333,0.6833333333333332,24.47083333333333,0.4890416666666666,2018,10,8,11,31,1,3,1,5,25.61746031746032,0.29871031746031745
2018-10-08 11:36:00,10.709015,76.07004167,24.73333333333333,0.65,25.47083333333333,0.4864166666666666,2018,10,8,11,36,6,1,4,8,25.61746031746032,0.29871031746031745
2018-10-08 12:40:00,12.07118167,75.26490333,24.575000000000003,0.5166666666666667,25.26666666666667,0.42025,2018,10,8,12,40,7,3,4,13,25.61746031746032,0.29871031746031745
2018-10-08 15:00:00,12.0472448,75.2656029,24.950000000000003,0.5166666666666667,25.704166666666666,0.3244583333333333,2018,10,8,15,0,8,4,10,13,25.61746031746032,0.29871031746031745
2018-10-08 15:00:00,12.0472448,75.2656029,24.950000000000003,0.5166666666666667,25.704166666666666,0.3244583333333333,2018,10,8,15,0,8,4,4,13,25.61746031746032,0.29871031746031745
2018-11-08 12:05:00,9.6733367,76.4221411,24.308333333333334,0.5625,25.125,0.4298333333333333,2018,11,8,12,5,1,3,2,5,25.748232323232322,0.1429292929292929
2018-11-08 12:15:00,9.669996667,76.42999833,24.3625,0.5625,25.179166666666664,0.4298333333333333,2018,11,8,12,15,3,3,2,5,25.748232323232322,0.1429292929292929
2018-11-08 12:15:00,9.669996667,76.42999833,24.3625,0.5625,25.179166666666664,0.4298333333333333,2018,11,8,12,15,3,3,10,5,25.748232323232322,0.1429292929292929
2018-12-08 13:01:00,8.941043333,76.63632,24.84166666666667,0.4541666666666666,25.89583333333333,0.2899583333333333,2018,12,8,13,1,1,4,2,2,26.137887596899223,0.14499354005167958
2018-12-08 13:27:00,8.942938333,76.63900333,24.84166666666667,0.4541666666666666,25.89583333333333,0.2899583333333333,2018,12,8,13,27,1,3,2,2,26.137887596899223,0.14499354005167958
2018-12-08 13:44:00,8.946675,76.65186333,24.691666666666663,0.4541666666666666,25.875,0.303,2018,12,8,13,44,1,1,2,2,26.137887596899223,0.14499354005167958
2018-08-13 10:22:00,12.52496836,75.12641669,24.57916666666667,2.858333333333333,25.008333333333336,0.4648333333333334,2018,8,13,10,22,1,1,10,14,24.621557971014493,0.8166968599033816
2018-08-13 10:32:00,12.52513163,75.12608204,24.616666666666664,1.9208333333333332,25.070833333333336,0.4648333333333334,2018,8,13,10,32,3,1,10,14,24.621557971014493,0.8166968599033816
2018-08-13 10:38:00,12.52498882,75.12616988,24.57916666666667,2.858333333333333,25.008333333333336,0.4648333333333334,2018,8,13,10,38,1,1,10,14,24.621557971014493,0.8166968599033816
2018-08-13 10:42:00,12.52500466,75.12599234,24.616666666666664,1.9208333333333332,25.070833333333336,0.4648333333333334,2018,8,13,10,42,3,1,10,14,24.621557971014493,0.8166968599033816
2018-08-13 10:51:00,12.52552817,75.1257532,24.616666666666664,1.9208333333333332,25.070833333333336,0.4648333333333334,2018,8,13,10,51,3,1,10,14,24.621557971014493,0.8166968599033816
2018-08-13 10:58:00,12.52576383,75.12560069,24.616666666666664,1.9208333333333332,25.070833333333336,0.4648333333333334,2018,8,13,10,58,3,1,10,14,24.621557971014493,0.8166968599033816
2018-08-13 10:59:00,9.85840619,76.51220571,24.079166666666666,0.95,24.7,0.4924166666666666,2018,8,13,10,59,2,4,1,7,24.621557971014493,0.8166968599033816
2018-08-13 11:10:00,12.52563921,75.12531443,24.616666666666664,1.9208333333333332,25.070833333333336,0.4648333333333334,2018,8,13,11,10,1,1,2,14,24.621557971014493,0.8166968599033816
2018-08-13 11:17:00,12.5141578,75.1196932,24.51666666666667,1.9208333333333332,24.97083333333333,0.4648333333333334,2018,8,13,11,17,3,1,2,14,24.621557971014493,0.8166968599033816
